100	2500	BasicFFD
d	sum	lb	lbsoln	i/s	opt
1	57134	23	100	1	4.34783
1	56632	23	100	1	4.34783
1	57201	23	100	1	4.34783
1	60532	25	100	1	4
1	57914	24	100	1	4.16667
1	58504	24	100	1	4.16667
1	54242	22	100	1	4.54545
1	58446	24	100	1	4.16667
1	56008	23	100	1	4.34783
1	55660	23	100	1	4.34783
1	58426	24	100	1	4.16667
1	58241	24	100	1	4.16667
1	59516	24	100	1	4.16667
1	57307	23	100	1	4.34783
1	58147	24	100	1	4.16667
1	60869	25	100	1	4
1	61337	25	100	1	4
1	55121	23	100	1	4.34783
1	51979	21	100	1	4.7619
1	57644	24	100	1	4.16667
1	57940	24	100	1	4.16667
1	58390	24	100	1	4.16667
1	55736	23	100	1	4.34783
1	56287	23	100	1	4.34783
1	58227	24	100	1	4.16667
1	55540	23	100	1	4.34783
1	54439	22	100	1	4.54545
1	60345	25	100	1	4
1	57821	24	100	1	4.16667
1	56527	23	100	1	4.34783
1	53077	22	100	1	4.54545
1	54552	22	100	1	4.54545
1	56460	23	100	1	4.34783
1	55750	23	100	1	4.34783
1	54960	22	100	1	4.54545
1	57219	23	100	1	4.34783
1	58730	24	100	1	4.16667
1	52468	21	100	1	4.7619
1	56773	23	100	1	4.34783
1	56430	23	100	1	4.34783
1	57044	23	100	1	4.34783
1	57344	23	100	1	4.34783
1	59959	24	100	1	4.16667
1	58344	24	100	1	4.16667
1	56086	23	100	1	4.34783
1	56255	23	100	1	4.34783
1	60757	25	100	1	4
1	57691	24	100	1	4.16667
1	59663	24	100	1	4.16667
1	59378	24	100	1	4.16667
1	53728	22	100	1	4.54545
1	53470	22	100	1	4.54545
1	56598	23	100	1	4.34783
1	58491	24	100	1	4.16667
1	55753	23	100	1	4.34783
1	57155	23	100	1	4.34783
1	60319	25	100	1	4
1	54232	22	100	1	4.54545
1	59348	24	100	1	4.16667
1	57714	24	100	1	4.16667
1	54464	22	100	1	4.54545
1	58170	24	100	1	4.16667
1	57979	24	100	1	4.16667
1	61424	25	100	1	4
1	58031	24	100	1	4.16667
1	55742	23	100	1	4.34783
1	58191	24	100	1	4.16667
1	57162	23	100	1	4.34783
1	58046	24	100	1	4.16667
1	59777	24	100	1	4.16667
1	52369	21	100	1	4.7619
1	54045	22	100	1	4.54545
1	59515	24	100	1	4.16667
1	57823	24	100	1	4.16667
1	55453	23	100	1	4.34783
1	57169	23	100	1	4.34783
1	57687	24	100	1	4.16667
1	58378	24	100	1	4.16667
1	56444	23	100	1	4.34783
1	57519	24	100	1	4.16667
1	57204	23	100	1	4.34783
1	57423	23	100	1	4.34783
1	56043	23	100	1	4.34783
1	62018	25	100	1	4
1	57669	24	100	1	4.16667
1	60051	25	100	1	4
1	60298	25	100	1	4
1	57709	24	100	1	4.16667
1	59590	24	100	1	4.16667
1	58915	24	100	1	4.16667
1	59314	24	100	1	4.16667
1	56274	23	100	1	4.34783
1	54645	22	100	1	4.54545
