100	5000	FFDincAHCA
d	sum	lb	lbsoln	i/s	opt
1	57134	12	100	1	8.33333
1	56632	12	100	1	8.33333
1	57201	12	100	1	8.33333
1	60532	13	100	1	7.69231
1	57914	12	100	1	8.33333
1	58504	12	100	1	8.33333
1	54242	11	100	1	9.09091
1	58446	12	100	1	8.33333
1	56008	12	100	1	8.33333
1	55660	12	100	1	8.33333
1	58426	12	100	1	8.33333
1	58241	12	100	1	8.33333
1	59516	12	100	1	8.33333
1	57307	12	100	1	8.33333
1	58147	12	100	1	8.33333
1	60869	13	100	1	7.69231
1	61337	13	100	1	7.69231
1	55121	12	100	1	8.33333
1	51979	11	100	1	9.09091
1	57644	12	100	1	8.33333
1	57940	12	100	1	8.33333
1	58390	12	100	1	8.33333
1	55736	12	100	1	8.33333
1	56287	12	100	1	8.33333
1	58227	12	100	1	8.33333
1	55540	12	100	1	8.33333
1	54439	11	100	1	9.09091
1	60345	13	100	1	7.69231
1	57821	12	100	1	8.33333
1	56527	12	100	1	8.33333
1	53077	11	100	1	9.09091
1	54552	11	100	1	9.09091
1	56460	12	100	1	8.33333
1	55750	12	100	1	8.33333
1	54960	11	100	1	9.09091
1	57219	12	100	1	8.33333
1	58730	12	100	1	8.33333
1	52468	11	100	1	9.09091
1	56773	12	100	1	8.33333
1	56430	12	100	1	8.33333
1	57044	12	100	1	8.33333
1	57344	12	100	1	8.33333
1	59959	12	100	1	8.33333
1	58344	12	100	1	8.33333
1	56086	12	100	1	8.33333
1	56255	12	100	1	8.33333
1	60757	13	100	1	7.69231
1	57691	12	100	1	8.33333
1	59663	12	100	1	8.33333
1	59378	12	100	1	8.33333
1	53728	11	100	1	9.09091
1	53470	11	100	1	9.09091
1	56598	12	100	1	8.33333
1	58491	12	100	1	8.33333
1	55753	12	100	1	8.33333
1	57155	12	100	1	8.33333
1	60319	13	100	1	7.69231
1	54232	11	100	1	9.09091
1	59348	12	100	1	8.33333
1	57714	12	100	1	8.33333
1	54464	11	100	1	9.09091
1	58170	12	100	1	8.33333
1	57979	12	100	1	8.33333
1	61424	13	100	1	7.69231
1	58031	12	100	1	8.33333
1	55742	12	100	1	8.33333
1	58191	12	100	1	8.33333
1	57162	12	100	1	8.33333
1	58046	12	100	1	8.33333
1	59777	12	100	1	8.33333
1	52369	11	100	1	9.09091
1	54045	11	100	1	9.09091
1	59515	12	100	1	8.33333
1	57823	12	100	1	8.33333
1	55453	12	100	1	8.33333
1	57169	12	100	1	8.33333
1	57687	12	100	1	8.33333
1	58378	12	100	1	8.33333
1	56444	12	100	1	8.33333
1	57519	12	100	1	8.33333
1	57204	12	100	1	8.33333
1	57423	12	100	1	8.33333
1	56043	12	100	1	8.33333
1	62018	13	100	1	7.69231
1	57669	12	100	1	8.33333
1	60051	13	100	1	7.69231
1	60298	13	100	1	7.69231
1	57709	12	100	1	8.33333
1	59590	12	100	1	8.33333
1	58915	12	100	1	8.33333
1	59314	12	100	1	8.33333
1	56274	12	100	1	8.33333
1	54645	11	100	1	9.09091
1	54777	11	100	1	9.09091
1	62683	13	100	1	7.69231
1	55370	12	100	1	8.33333
1	55232	12	100	1	8.33333
1	58039	12	100	1	8.33333
1	56803	12	100	1	8.33333
1	59724	12	100	1	8.33333
1	53102	11	100	1	9.09091
1	58167	12	100	1	8.33333
1	57169	12	100	1	8.33333
1	57179	12	100	1	8.33333
1	56532	12	100	1	8.33333
1	59419	12	100	1	8.33333
1	57825	12	100	1	8.33333
1	53804	11	100	1	9.09091
1	56184	12	100	1	8.33333
1	56184	12	100	1	8.33333
1	56438	12	100	1	8.33333
1	57705	12	100	1	8.33333
1	54181	11	100	1	9.09091
1	58028	12	100	1	8.33333
1	57497	12	100	1	8.33333
1	52233	11	100	1	9.09091
1	58405	12	100	1	8.33333
1	56163	12	100	1	8.33333
1	59317	12	100	1	8.33333
1	57392	12	100	1	8.33333
1	57260	12	100	1	8.33333
1	55270	12	100	1	8.33333
1	54510	11	100	1	9.09091
1	51891	11	100	1	9.09091
1	57247	12	100	1	8.33333
1	57590	12	100	1	8.33333
1	59867	12	100	1	8.33333
1	57051	12	100	1	8.33333
1	58481	12	100	1	8.33333
1	57753	12	100	1	8.33333
1	58824	12	100	1	8.33333
1	56277	12	100	1	8.33333
1	54932	11	100	1	9.09091
1	57337	12	100	1	8.33333
1	56184	12	100	1	8.33333
1	54075	11	100	1	9.09091
1	58772	12	100	1	8.33333
