1000	5000	BasicFFD
d	sum	lb	lbsoln	i/s	opt
1	556086	112	1000	1	8.92857
1	581784	117	1000	1	8.54701
1	583254	117	1000	1	8.54701
1	576517	116	1000	1	8.62069
1	580844	117	1000	1	8.54701
1	575980	116	1000	1	8.62069
1	570172	115	1000	1	8.69565
1	573823	115	1000	1	8.69565
1	590716	119	1000	1	8.40336
1	579300	116	1000	1	8.62069
1	579280	116	1000	1	8.62069
1	587663	118	1000	1	8.47458
1	584786	117	1000	1	8.54701
1	583552	117	1000	1	8.54701
1	571943	115	1000	1	8.69565
1	588942	118	1000	1	8.47458
1	563661	113	1000	1	8.84956
1	567810	114	1000	1	8.77193
1	578114	116	1000	1	8.62069
1	576876	116	1000	1	8.62069
1	575147	116	1000	1	8.62069
1	579343	116	1000	1	8.62069
1	572030	115	1000	1	8.69565
1	578069	116	1000	1	8.62069
1	566461	114	1000	1	8.77193
1	570286	115	1000	1	8.69565
1	570423	115	1000	1	8.69565
1	577161	116	1000	1	8.62069
1	586302	118	1000	1	8.47458
1	563514	113	1000	1	8.84956
1	577101	116	1000	1	8.62069
1	581124	117	1000	1	8.54701
1	577786	116	1000	1	8.62069
1	571593	115	1000	1	8.69565
1	556271	112	1000	1	8.92857
1	574243	115	1000	1	8.69565
1	586980	118	1000	1	8.47458
1	571592	115	1000	1	8.69565
1	584257	117	1000	1	8.54701
1	579433	116	1000	1	8.62069
1	580903	117	1000	1	8.54701
1	572221	115	1000	1	8.69565
1	576449	116	1000	1	8.62069
1	563381	113	1000	1	8.84956
1	583238	117	1000	1	8.54701
1	576507	116	1000	1	8.62069
1	576960	116	1000	1	8.62069
1	583365	117	1000	1	8.54701
1	590569	119	1000	1	8.40336
1	569729	114	1000	1	8.77193
1	578456	116	1000	1	8.62069
1	573732	115	1000	1	8.69565
1	580505	117	1000	1	8.54701
1	579986	116	1000	1	8.62069
1	573136	115	1000	1	8.69565
1	569057	114	1000	1	8.77193
1	565201	114	1000	1	8.77193
1	570504	115	1000	1	8.69565
1	578508	116	1000	1	8.62069
1	578439	116	1000	1	8.62069
1	573072	115	1000	1	8.69565
1	582673	117	1000	1	8.54701
1	584138	117	1000	1	8.54701
1	561961	113	1000	1	8.84956
1	575744	116	1000	1	8.62069
