1000	2500	FFD+
d	sum	lb	lbsoln	i/s	opt
0	556086	223	1000	1	4.4843
0	581784	233	1000	1	4.29185
0	583254	234	1000	1	4.2735
0	576517	231	1000	1	4.329
0	580844	233	1000	1	4.29185
0	575980	231	1000	1	4.329
0	570172	229	1000	1	4.36681
0	573823	230	1000	1	4.34783
0	590716	237	1000	1	4.21941
0	579300	232	1000	1	4.31034
0	579280	232	1000	1	4.31034
0	587663	236	1000	1	4.23729
0	584786	234	1000	1	4.2735
0	583552	234	1000	1	4.2735
0	571943	229	1000	1	4.36681
0	588942	236	1000	1	4.23729
0	563661	226	1000	1	4.42478
0	567810	228	1000	1	4.38596
0	578114	232	1000	1	4.31034
0	576876	231	1000	1	4.329
0	575147	231	1000	1	4.329
0	579343	232	1000	1	4.31034
0	572030	229	1000	1	4.36681
0	578069	232	1000	1	4.31034
0	566461	227	1000	1	4.40529
0	570286	229	1000	1	4.36681
0	570423	229	1000	1	4.36681
0	577161	231	1000	1	4.329
0	586302	235	1000	1	4.25532
0	563514	226	1000	1	4.42478
0	577101	231	1000	1	4.329
0	581124	233	1000	1	4.29185
0	577786	232	1000	1	4.31034
0	571593	229	1000	1	4.36681
0	556271	223	1000	1	4.4843
0	574243	230	1000	1	4.34783
0	586980	235	1000	1	4.25532
0	571592	229	1000	1	4.36681
0	584257	234	1000	1	4.2735
0	579433	232	1000	1	4.31034
0	580903	233	1000	1	4.29185
0	572221	229	1000	1	4.36681
0	576449	231	1000	1	4.329
0	563381	226	1000	1	4.42478
0	583238	234	1000	1	4.2735
0	576507	231	1000	1	4.329
0	576960	231	1000	1	4.329
0	583365	234	1000	1	4.2735
0	590569	237	1000	1	4.21941
0	569729	228	1000	1	4.38596
0	578456	232	1000	1	4.31034
0	573732	230	1000	1	4.34783
0	580505	233	1000	1	4.29185
0	579986	232	1000	1	4.31034
0	573136	230	1000	1	4.34783
0	569057	228	1000	1	4.38596
0	565201	227	1000	1	4.40529
0	570504	229	1000	1	4.36681
0	578508	232	1000	1	4.31034
0	578439	232	1000	1	4.31034
0	573072	230	1000	1	4.34783
0	582673	234	1000	1	4.2735
0	584138	234	1000	1	4.2735
0	561961	225	1000	1	4.44444
0	575744	231	1000	1	4.329
0	572736	230	1000	1	4.34783
0	577932	232	1000	1	4.31034
0	566727	227	1000	1	4.40529
0	570531	229	1000	1	4.36681
0	567933	228	1000	1	4.38596
0	554868	222	1000	1	4.5045
0	569512	228	1000	1	4.38596
0	590837	237	1000	1	4.21941
0	571425	229	1000	1	4.36681
0	586499	235	1000	1	4.25532
0	569565	228	1000	1	4.38596
0	569845	228	1000	1	4.38596
0	577705	232	1000	1	4.31034
0	585603	235	1000	1	4.25532
0	563346	226	1000	1	4.42478
0	553830	222	1000	1	4.5045
0	571224	229	1000	1	4.36681
0	575930	231	1000	1	4.329
0	575552	231	1000	1	4.329
0	590665	237	1000	1	4.21941
0	557816	224	1000	1	4.46429
0	568820	228	1000	1	4.38596
0	576434	231	1000	1	4.329
0	567687	228	1000	1	4.38596
0	572132	229	1000	1	4.36681
0	592491	237	1000	1	4.21941
0	569060	228	1000	1	4.38596
0	565298	227	1000	1	4.40529
0	567024	227	1000	1	4.40529
0	570705	229	1000	1	4.36681
0	564602	226	1000	1	4.42478
0	577130	231	1000	1	4.329
0	590349	237	1000	1	4.21941
0	583091	234	1000	1	4.2735
0	571736	229	1000	1	4.36681
0	570277	229	1000	1	4.36681
0	577907	232	1000	1	4.31034
0	566605	227	1000	1	4.40529
0	565358	227	1000	1	4.40529
0	579798	232	1000	1	4.31034
0	575965	231	1000	1	4.329
0	567827	228	1000	1	4.38596
0	569376	228	1000	1	4.38596
0	565420	227	1000	1	4.40529
0	579585	232	1000	1	4.31034
0	575792	231	1000	1	4.329
0	572782	230	1000	1	4.34783
0	591891	237	1000	1	4.21941
0	560417	225	1000	1	4.44444
0	578418	232	1000	1	4.31034
0	564618	226	1000	1	4.42478
0	565141	227	1000	1	4.40529
0	571025	229	1000	1	4.36681
0	574730	230	1000	1	4.34783
0	581479	233	1000	1	4.29185
0	578212	232	1000	1	4.31034
0	566650	227	1000	1	4.40529
0	577505	232	1000	1	4.31034
0	567313	227	1000	1	4.40529
0	571090	229	1000	1	4.36681
0	568233	228	1000	1	4.38596
0	578560	232	1000	1	4.31034
0	567155	227	1000	1	4.40529
0	591242	237	1000	1	4.21941
0	588395	236	1000	1	4.23729
0	572382	229	1000	1	4.36681
0	564486	226	1000	1	4.42478
0	569126	228	1000	1	4.38596
0	581408	233	1000	1	4.29185
0	585843	235	1000	1	4.25532
0	569840	228	1000	1	4.38596
0	576528	231	1000	1	4.329
0	570306	229	1000	1	4.36681
0	576649	231	1000	1	4.329
0	588694	236	1000	1	4.23729
0	574712	230	1000	1	4.34783
0	578454	232	1000	1	4.31034
0	578701	232	1000	1	4.31034
0	570221	229	1000	1	4.36681
0	580818	233	1000	1	4.29185
0	566175	227	1000	1	4.40529
0	587260	235	1000	1	4.25532
0	568948	228	1000	1	4.38596
0	586751	235	1000	1	4.25532
0	556719	223	1000	1	4.4843
0	570010	229	1000	1	4.36681
0	568915	228	1000	1	4.38596
0	564558	226	1000	1	4.42478
0	581748	233	1000	1	4.29185
0	576951	231	1000	1	4.329
0	580342	233	1000	1	4.29185
0	571905	229	1000	1	4.36681
0	572847	230	1000	1	4.34783
0	574814	230	1000	1	4.34783
0	558283	224	1000	1	4.46429
0	592139	237	1000	1	4.21941
0	583665	234	1000	1	4.2735
0	589243	236	1000	1	4.23729
