500	1250	Pair
d	sum	lb	lbsoln	i/s	opt
0	290320	233	500	1	2.14592
0	289126	232	500	1	2.15517
0	288623	231	500	1	2.1645
0	294851	236	500	1	2.11864
0	288117	231	500	1	2.1645
0	287024	230	500	1	2.17391
0	287832	231	500	1	2.1645
0	285234	229	500	1	2.18341
0	289418	232	500	1	2.15517
0	284855	228	500	1	2.19298
0	285878	229	500	1	2.18341
0	285512	229	500	1	2.18341
0	290761	233	500	1	2.14592
0	287459	230	500	1	2.17391
0	280319	225	500	1	2.22222
0	287531	231	500	1	2.1645
0	283764	228	500	1	2.19298
0	299333	240	500	1	2.08333
0	290740	233	500	1	2.14592
0	293643	235	500	1	2.12766
0	277178	222	500	1	2.25225
0	291115	233	500	1	2.14592
0	299461	240	500	1	2.08333
0	289453	232	500	1	2.15517
0	292318	234	500	1	2.13675
0	295554	237	500	1	2.1097
0	280174	225	500	1	2.22222
0	290260	233	500	1	2.14592
0	286294	230	500	1	2.17391
0	278884	224	500	1	2.23214
0	289368	232	500	1	2.15517
0	296875	238	500	1	2.10084
0	292131	234	500	1	2.13675
0	277033	222	500	1	2.25225
0	286471	230	500	1	2.17391
0	280559	225	500	1	2.22222
0	274395	220	500	1	2.27273
0	285655	229	500	1	2.18341
0	276810	222	500	1	2.25225
0	285778	229	500	1	2.18341
0	286534	230	500	1	2.17391
0	292171	234	500	1	2.13675
0	305584	245	500	1	2.04082
0	289178	232	500	1	2.15517
0	285472	229	500	1	2.18341
0	278638	223	500	1	2.24215
0	288493	231	500	1	2.1645
0	295248	237	500	1	2.1097
0	287258	230	500	1	2.17391
0	278790	224	500	1	2.23214
0	287096	230	500	1	2.17391
0	289055	232	500	1	2.15517
0	284387	228	500	1	2.19298
0	284904	228	500	1	2.19298
0	291408	234	500	1	2.13675
0	288905	232	500	1	2.15517
0	298256	239	500	1	2.09205
0	293201	235	500	1	2.12766
0	283648	227	500	1	2.20264
0	282954	227	500	1	2.20264
0	292691	235	500	1	2.12766
0	288040	231	500	1	2.1645
0	290617	233	500	1	2.14592
0	293455	235	500	1	2.12766
